 Flame speed (mixture-averaged      ) =   3.646e+00 m/s
  Grid,   Temperature,   Uvec,   O3,    O2
   0.000e+00,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   1.250e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   2.500e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   3.750e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   4.375e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   4.688e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   4.844e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   5.000e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   5.019e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   5.038e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   5.048e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   5.057e-03,   3.000e+02,   3.646e+00,   6.285e-01,   3.715e-01
   5.067e-03,   3.001e+02,   3.647e+00,   6.284e-01,   3.716e-01
   5.076e-03,   3.002e+02,   3.649e+00,   6.284e-01,   3.716e-01
   5.086e-03,   3.007e+02,   3.655e+00,   6.283e-01,   3.717e-01
   5.095e-03,   3.024e+02,   3.675e+00,   6.279e-01,   3.721e-01
   5.105e-03,   3.076e+02,   3.741e+00,   6.265e-01,   3.735e-01
   5.115e-03,   3.235e+02,   3.943e+00,   6.221e-01,   3.778e-01
   5.124e-03,   3.684e+02,   4.514e+00,   6.097e-01,   3.901e-01
   5.134e-03,   4.735e+02,   5.877e+00,   5.803e-01,   4.190e-01
   5.143e-03,   6.613e+02,   8.410e+00,   5.244e-01,   4.735e-01
   5.153e-03,   9.000e+02,   1.193e+01,   4.330e-01,   5.607e-01
   5.162e-03,   1.098e+03,   1.540e+01,   3.092e-01,   6.750e-01
   5.172e-03,   1.218e+03,   1.802e+01,   1.924e-01,   7.808e-01
   5.181e-03,   1.283e+03,   1.969e+01,   1.097e-01,   8.549e-01
   5.191e-03,   1.317e+03,   2.066e+01,   5.964e-02,   8.996e-01
   5.200e-03,   1.335e+03,   2.120e+01,   3.165e-02,   9.246e-01
   5.210e-03,   1.345e+03,   2.150e+01,   1.660e-02,   9.381e-01
   5.219e-03,   1.351e+03,   2.166e+01,   8.677e-03,   9.452e-01
   5.228e-03,   1.355e+03,   2.176e+01,   4.548e-03,   9.490e-01
   5.238e-03,   1.357e+03,   2.182e+01,   2.407e-03,   9.510e-01
   5.247e-03,   1.360e+03,   2.187e+01,   1.289e-03,   9.522e-01
   5.266e-03,   1.364e+03,   2.193e+01,   5.144e-04,   9.531e-01
   5.285e-03,   1.367e+03,   2.199e+01,   2.641e-04,   9.535e-01
   5.304e-03,   1.371e+03,   2.204e+01,   1.811e-04,   9.539e-01
   5.342e-03,   1.377e+03,   2.213e+01,   1.459e-04,   9.544e-01
   5.380e-03,   1.383e+03,   2.222e+01,   1.352e-04,   9.548e-01
   5.456e-03,   1.395e+03,   2.239e+01,   1.241e-04,   9.556e-01
   5.607e-03,   1.415e+03,   2.269e+01,   1.080e-04,   9.571e-01
   5.759e-03,   1.433e+03,   2.294e+01,   9.555e-05,   9.584e-01
   6.062e-03,   1.462e+03,   2.337e+01,   7.815e-05,   9.605e-01
   6.365e-03,   1.487e+03,   2.372e+01,   6.596e-05,   9.623e-01
   6.668e-03,   1.508e+03,   2.402e+01,   5.700e-05,   9.638e-01
   6.970e-03,   1.527e+03,   2.429e+01,   5.016e-05,   9.652e-01
   7.576e-03,   1.557e+03,   2.471e+01,   4.081e-05,   9.674e-01
   8.182e-03,   1.581e+03,   2.506e+01,   3.436e-05,   9.692e-01
   8.788e-03,   1.602e+03,   2.536e+01,   2.967e-05,   9.707e-01
   1.000e-02,   1.635e+03,   2.581e+01,   2.360e-05,   9.731e-01
   1.125e-02,   1.662e+03,   2.618e+01,   1.948e-05,   9.750e-01
   1.250e-02,   1.684e+03,   2.649e+01,   1.660e-05,   9.766e-01
   1.500e-02,   1.717e+03,   2.694e+01,   1.301e-05,   9.790e-01
   1.750e-02,   1.742e+03,   2.729e+01,   1.070e-05,   9.809e-01
   2.000e-02,   1.763e+03,   2.758e+01,   9.096e-06,   9.824e-01
   2.025e-02,   1.765e+03,   2.760e+01,   8.950e-06,   9.826e-01
   2.050e-02,   1.767e+03,   2.763e+01,   8.810e-06,   9.827e-01
   2.075e-02,   1.769e+03,   2.765e+01,   8.683e-06,   9.828e-01
   2.100e-02,   1.769e+03,   2.765e+01,   8.683e-06,   9.828e-01
