 Flame speed (mixture-averaged      ) =   1.413e+00 m/s
  Grid,   Temperature,   Uvec,   O3,    O2
   0.000e+00,   3.000e+02,   1.413e+00,   6.285e-01,   3.715e-01
   1.250e-03,   3.000e+02,   1.413e+00,   6.285e-01,   3.715e-01
   2.500e-03,   3.000e+02,   1.413e+00,   6.285e-01,   3.715e-01
   3.125e-03,   3.000e+02,   1.413e+00,   6.285e-01,   3.715e-01
   3.750e-03,   3.000e+02,   1.413e+00,   6.285e-01,   3.715e-01
   4.375e-03,   3.000e+02,   1.413e+00,   6.285e-01,   3.715e-01
   4.688e-03,   3.000e+02,   1.413e+00,   6.285e-01,   3.715e-01
   4.844e-03,   3.000e+02,   1.413e+00,   6.285e-01,   3.715e-01
   4.922e-03,   3.001e+02,   1.414e+00,   6.285e-01,   3.715e-01
   5.000e-03,   3.005e+02,   1.416e+00,   6.285e-01,   3.715e-01
   5.010e-03,   3.007e+02,   1.417e+00,   6.285e-01,   3.715e-01
   5.019e-03,   3.012e+02,   1.419e+00,   6.284e-01,   3.716e-01
   5.029e-03,   3.020e+02,   1.423e+00,   6.284e-01,   3.716e-01
   5.038e-03,   3.036e+02,   1.430e+00,   6.283e-01,   3.717e-01
   5.048e-03,   3.064e+02,   1.444e+00,   6.281e-01,   3.718e-01
   5.057e-03,   3.114e+02,   1.468e+00,   6.276e-01,   3.723e-01
   5.067e-03,   3.200e+02,   1.509e+00,   6.265e-01,   3.733e-01
   5.076e-03,   3.344e+02,   1.579e+00,   6.241e-01,   3.754e-01
   5.086e-03,   3.574e+02,   1.692e+00,   6.193e-01,   3.797e-01
   5.095e-03,   3.925e+02,   1.867e+00,   6.105e-01,   3.877e-01
   5.105e-03,   4.434e+02,   2.127e+00,   5.956e-01,   4.013e-01
   5.115e-03,   5.132e+02,   2.491e+00,   5.725e-01,   4.224e-01
   5.124e-03,   6.022e+02,   2.972e+00,   5.391e-01,   4.532e-01
   5.134e-03,   7.051e+02,   3.559e+00,   4.935e-01,   4.951e-01
   5.143e-03,   8.092e+02,   4.204e+00,   4.346e-01,   5.490e-01
   5.153e-03,   9.000e+02,   4.837e+00,   3.641e-01,   6.127e-01
   5.162e-03,   9.697e+02,   5.400e+00,   2.896e-01,   6.795e-01
   5.172e-03,   1.020e+03,   5.871e+00,   2.193e-01,   7.422e-01
   5.181e-03,   1.056e+03,   6.245e+00,   1.595e-01,   7.954e-01
   5.191e-03,   1.082e+03,   6.533e+00,   1.124e-01,   8.373e-01
   5.200e-03,   1.102e+03,   6.752e+00,   7.732e-02,   8.686e-01
   5.210e-03,   1.117e+03,   6.919e+00,   5.221e-02,   8.912e-01
   5.219e-03,   1.130e+03,   7.048e+00,   3.476e-02,   9.071e-01
   5.228e-03,   1.141e+03,   7.152e+00,   2.290e-02,   9.181e-01
   5.238e-03,   1.152e+03,   7.238e+00,   1.499e-02,   9.256e-01
   5.247e-03,   1.162e+03,   7.312e+00,   9.790e-03,   9.307e-01
   5.257e-03,   1.171e+03,   7.378e+00,   6.423e-03,   9.343e-01
   5.266e-03,   1.180e+03,   7.438e+00,   4.265e-03,   9.368e-01
   5.276e-03,   1.189e+03,   7.493e+00,   2.891e-03,   9.386e-01
   5.285e-03,   1.197e+03,   7.545e+00,   2.016e-03,   9.399e-01
   5.304e-03,   1.213e+03,   7.641e+00,   1.182e-03,   9.417e-01
   5.323e-03,   1.228e+03,   7.728e+00,   8.073e-04,   9.430e-01
   5.342e-03,   1.242e+03,   7.807e+00,   6.233e-04,   9.441e-01
   5.380e-03,   1.266e+03,   7.948e+00,   4.653e-04,   9.460e-01
   5.418e-03,   1.287e+03,   8.072e+00,   3.773e-04,   9.475e-01
   5.456e-03,   1.307e+03,   8.181e+00,   3.177e-04,   9.489e-01
   5.531e-03,   1.339e+03,   8.365e+00,   2.415e-04,   9.512e-01
   5.607e-03,   1.366e+03,   8.520e+00,   1.926e-04,   9.532e-01
   5.759e-03,   1.409e+03,   8.762e+00,   1.367e-04,   9.563e-01
   5.910e-03,   1.443e+03,   8.956e+00,   1.044e-04,   9.587e-01
   6.062e-03,   1.472e+03,   9.116e+00,   8.386e-05,   9.608e-01
   6.365e-03,   1.516e+03,   9.358e+00,   6.048e-05,   9.640e-01
   6.970e-03,   1.574e+03,   9.681e+00,   3.925e-05,   9.682e-01
   7.576e-03,   1.617e+03,   9.915e+00,   2.867e-05,   9.713e-01
   8.182e-03,   1.651e+03,   1.010e+01,   2.246e-05,   9.737e-01
   8.788e-03,   1.677e+03,   1.024e+01,   1.843e-05,   9.757e-01
   9.394e-03,   1.700e+03,   1.036e+01,   1.561e-05,   9.773e-01
   1.000e-02,   1.718e+03,   1.046e+01,   1.354e-05,   9.787e-01
   1.125e-02,   1.748e+03,   1.062e+01,   1.077e-05,   9.808e-01
   1.250e-02,   1.771e+03,   1.074e+01,   8.944e-06,   9.825e-01
   1.375e-02,   1.790e+03,   1.084e+01,   7.646e-06,   9.839e-01
   1.500e-02,   1.805e+03,   1.092e+01,   6.680e-06,   9.850e-01
   1.750e-02,   1.829e+03,   1.104e+01,   5.409e-06,   9.868e-01
   2.000e-02,   1.847e+03,   1.114e+01,   4.543e-06,   9.881e-01
   2.025e-02,   1.849e+03,   1.115e+01,   4.464e-06,   9.882e-01
   2.050e-02,   1.851e+03,   1.116e+01,   4.389e-06,   9.884e-01
   2.063e-02,   1.851e+03,   1.116e+01,   4.352e-06,   9.884e-01
   2.075e-02,   1.852e+03,   1.117e+01,   4.319e-06,   9.885e-01
   2.088e-02,   1.853e+03,   1.117e+01,   4.294e-06,   9.885e-01
   2.100e-02,   1.853e+03,   1.117e+01,   4.294e-06,   9.885e-01
