 Flame speed (mixture-averaged      ) =   2.406e+00 m/s
  Grid,   Temperature,   Uvec,   O3,    O2
   0.000e+00,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   1.250e-03,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   2.500e-03,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   3.125e-03,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   3.750e-03,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   4.375e-03,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   4.688e-03,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   4.844e-03,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   5.000e-03,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   5.019e-03,   3.000e+02,   2.406e+00,   6.285e-01,   3.715e-01
   5.038e-03,   3.001e+02,   2.407e+00,   6.285e-01,   3.715e-01
   5.048e-03,   3.002e+02,   2.408e+00,   6.284e-01,   3.716e-01
   5.057e-03,   3.005e+02,   2.410e+00,   6.284e-01,   3.716e-01
   5.067e-03,   3.011e+02,   2.415e+00,   6.283e-01,   3.717e-01
   5.076e-03,   3.026e+02,   2.427e+00,   6.281e-01,   3.719e-01
   5.086e-03,   3.062e+02,   2.457e+00,   6.274e-01,   3.725e-01
   5.095e-03,   3.146e+02,   2.527e+00,   6.256e-01,   3.742e-01
   5.105e-03,   3.335e+02,   2.685e+00,   6.210e-01,   3.786e-01
   5.115e-03,   3.732e+02,   3.020e+00,   6.101e-01,   3.888e-01
   5.124e-03,   4.485e+02,   3.668e+00,   5.883e-01,   4.095e-01
   5.134e-03,   5.711e+02,   4.755e+00,   5.502e-01,   4.458e-01
   5.143e-03,   7.337e+02,   6.278e+00,   4.914e-01,   5.014e-01
   5.153e-03,   9.000e+02,   8.007e+00,   4.085e-01,   5.784e-01
   5.162e-03,   1.029e+03,   9.592e+00,   3.092e-01,   6.687e-01
   5.172e-03,   1.114e+03,   1.085e+01,   2.140e-01,   7.542e-01
   5.181e-03,   1.166e+03,   1.175e+01,   1.387e-01,   8.214e-01
   5.191e-03,   1.197e+03,   1.235e+01,   8.616e-02,   8.682e-01
   5.200e-03,   1.217e+03,   1.274e+01,   5.213e-02,   8.985e-01
   5.210e-03,   1.230e+03,   1.299e+01,   3.105e-02,   9.173e-01
   5.219e-03,   1.239e+03,   1.315e+01,   1.833e-02,   9.288e-01
   5.228e-03,   1.246e+03,   1.327e+01,   1.079e-02,   9.357e-01
   5.238e-03,   1.251e+03,   1.335e+01,   6.378e-03,   9.399e-01
   5.247e-03,   1.256e+03,   1.341e+01,   3.810e-03,   9.424e-01
   5.257e-03,   1.261e+03,   1.347e+01,   2.324e-03,   9.440e-01
   5.266e-03,   1.265e+03,   1.351e+01,   1.460e-03,   9.451e-01
   5.285e-03,   1.273e+03,   1.360e+01,   7.526e-04,   9.463e-01
   5.304e-03,   1.281e+03,   1.368e+01,   4.778e-04,   9.470e-01
   5.342e-03,   1.295e+03,   1.381e+01,   3.344e-04,   9.481e-01
   5.380e-03,   1.308e+03,   1.394e+01,   2.835e-04,   9.491e-01
   5.456e-03,   1.331e+03,   1.416e+01,   2.337e-04,   9.508e-01
   5.531e-03,   1.351e+03,   1.436e+01,   1.994e-04,   9.522e-01
   5.607e-03,   1.369e+03,   1.453e+01,   1.736e-04,   9.535e-01
   5.759e-03,   1.399e+03,   1.482e+01,   1.384e-04,   9.557e-01
   6.062e-03,   1.443e+03,   1.524e+01,   9.901e-05,   9.589e-01
   6.365e-03,   1.479e+03,   1.558e+01,   7.625e-05,   9.615e-01
   6.668e-03,   1.508e+03,   1.585e+01,   6.167e-05,   9.636e-01
   6.970e-03,   1.532e+03,   1.608e+01,   5.163e-05,   9.653e-01
   7.576e-03,   1.570e+03,   1.643e+01,   3.936e-05,   9.681e-01
   8.182e-03,   1.600e+03,   1.671e+01,   3.168e-05,   9.703e-01
   8.788e-03,   1.625e+03,   1.694e+01,   2.647e-05,   9.721e-01
   1.000e-02,   1.662e+03,   1.729e+01,   2.021e-05,   9.748e-01
   1.125e-02,   1.692e+03,   1.756e+01,   1.623e-05,   9.769e-01
   1.250e-02,   1.715e+03,   1.777e+01,   1.355e-05,   9.787e-01
   1.500e-02,   1.750e+03,   1.809e+01,   1.038e-05,   9.812e-01
   1.750e-02,   1.776e+03,   1.832e+01,   8.403e-06,   9.831e-01
   2.000e-02,   1.797e+03,   1.851e+01,   7.059e-06,   9.846e-01
   2.025e-02,   1.799e+03,   1.853e+01,   6.938e-06,   9.848e-01
   2.050e-02,   1.801e+03,   1.854e+01,   6.822e-06,   9.849e-01
   2.075e-02,   1.802e+03,   1.856e+01,   6.721e-06,   9.850e-01
   2.100e-02,   1.802e+03,   1.856e+01,   6.721e-06,   9.850e-01
