 Flame speed (mixture-averaged      ) =   5.349e+00 m/s
  Grid,   Temperature,   Uvec,   O3,    O2
  2.096e-316,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
  2.096e-316,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   2.500e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   3.750e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   4.375e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   4.688e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   4.844e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   5.000e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   5.019e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   5.038e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   5.048e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   5.057e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   5.067e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   5.076e-03,   3.000e+02,   5.349e+00,   6.285e-01,   3.715e-01
   5.086e-03,   3.001e+02,   5.350e+00,   6.284e-01,   3.716e-01
   5.095e-03,   3.003e+02,   5.354e+00,   6.284e-01,   3.716e-01
   5.105e-03,   3.011e+02,   5.370e+00,   6.281e-01,   3.719e-01
   5.115e-03,   3.050e+02,   5.441e+00,   6.268e-01,   3.732e-01
   5.124e-03,   3.213e+02,   5.746e+00,   6.214e-01,   3.786e-01
   5.134e-03,   3.836e+02,   6.916e+00,   6.017e-01,   3.982e-01
   5.143e-03,   5.639e+02,   1.039e+01,   5.488e-01,   4.511e-01
   5.153e-03,   9.000e+02,   1.734e+01,   4.432e-01,   5.551e-01
   5.162e-03,   1.217e+03,   2.519e+01,   2.791e-01,   7.100e-01
   5.172e-03,   1.377e+03,   3.026e+01,   1.436e-01,   8.341e-01
   5.181e-03,   1.447e+03,   3.288e+01,   6.724e-02,   9.033e-01
   5.191e-03,   1.478e+03,   3.411e+01,   3.022e-02,   9.367e-01
   5.200e-03,   1.492e+03,   3.466e+01,   1.337e-02,   9.519e-01
   5.210e-03,   1.498e+03,   3.492e+01,   5.881e-03,   9.586e-01
   5.219e-03,   1.501e+03,   3.503e+01,   2.594e-03,   9.616e-01
   5.228e-03,   1.503e+03,   3.509e+01,   1.156e-03,   9.630e-01
   5.238e-03,   1.504e+03,   3.512e+01,   5.287e-04,   9.636e-01
   5.247e-03,   1.504e+03,   3.515e+01,   2.510e-04,   9.639e-01
   5.266e-03,   1.506e+03,   3.517e+01,   9.682e-05,   9.641e-01
   5.304e-03,   1.508e+03,   3.522e+01,   5.247e-05,   9.643e-01
   5.342e-03,   1.510e+03,   3.527e+01,   4.595e-05,   9.645e-01
   5.380e-03,   1.512e+03,   3.532e+01,   4.458e-05,   9.646e-01
   5.456e-03,   1.517e+03,   3.541e+01,   4.339e-05,   9.649e-01
   5.607e-03,   1.525e+03,   3.557e+01,   4.140e-05,   9.655e-01
   5.759e-03,   1.532e+03,   3.573e+01,   3.960e-05,   9.661e-01
   6.062e-03,   1.546e+03,   3.602e+01,   3.652e-05,   9.671e-01
   6.365e-03,   1.559e+03,   3.628e+01,   3.390e-05,   9.680e-01
   6.668e-03,   1.570e+03,   3.651e+01,   3.164e-05,   9.688e-01
   6.970e-03,   1.580e+03,   3.673e+01,   2.968e-05,   9.696e-01
   7.273e-03,   1.590e+03,   3.693e+01,   2.795e-05,   9.703e-01
   7.576e-03,   1.599e+03,   3.711e+01,   2.643e-05,   9.709e-01
   8.182e-03,   1.615e+03,   3.744e+01,   2.392e-05,   9.721e-01
   8.788e-03,   1.629e+03,   3.773e+01,   2.186e-05,   9.731e-01
   9.394e-03,   1.641e+03,   3.798e+01,   2.014e-05,   9.740e-01
   1.000e-02,   1.653e+03,   3.822e+01,   1.869e-05,   9.748e-01
   1.125e-02,   1.673e+03,   3.862e+01,   1.638e-05,   9.763e-01
   1.250e-02,   1.689e+03,   3.896e+01,   1.459e-05,   9.775e-01
   1.500e-02,   1.715e+03,   3.949e+01,   1.213e-05,   9.794e-01
   1.750e-02,   1.736e+03,   3.991e+01,   1.040e-05,   9.809e-01
   2.000e-02,   1.754e+03,   4.026e+01,   9.123e-06,   9.822e-01
   2.100e-02,   1.754e+03,   4.026e+01,   9.123e-06,   9.822e-01
