"w_O","w_O2","w_O3","u","v","p","T","X_O","X_O2","X_O3","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0.8,0.2,0.3,0,0.18122,300,0,0.85714,0.14286,0,1,0,0,0.0025,0
1.0202e-13,0.8,0.2,0.29988,-1.6724e-14,0.1812,300,2.1861e-13,0.85714,0.14286,0,1,0.0001,0.0001,0.0025,0
9.8394e-14,0.8,0.2,0.29984,-3.3546e-14,0.18107,300,2.1084e-13,0.85714,0.14286,0,1,0.0002,0.0002,0.0025,0
8.4909e-14,0.8,0.2,0.29983,-5.0225e-14,0.1809,300,1.8195e-13,0.85714,0.14286,0,1,0.0003,0.0003,0.0025,0
9.6245e-14,0.8,0.2,0.29984,-6.6758e-14,0.18072,300,2.0624e-13,0.85714,0.14286,0,1,0.0004,0.0004,0.0025,0
1.0598e-13,0.8,0.2,0.29985,-8.338e-14,0.18052,300,2.2709e-13,0.85714,0.14286,0,1,0.0005,0.0005,0.0025,0
4.8671e-14,0.8,0.2,0.29986,-1.0079e-13,0.18033,300,1.0429e-13,0.85714,0.14286,0,1,0.0006,0.0006,0.0025,0
2.0868e-13,0.8,0.2,0.29988,-1.1848e-13,0.18014,300,4.4718e-13,0.85714,0.14286,0,1,0.0007,0.0007,0.0025,0
-2.1922e-12,0.8,0.2,0.2999,-1.3572e-13,0.17994,300,-4.6976e-12,0.85714,0.14286,0,1,0.0008,0.0008,0.0025,0
-9.6753e-12,0.8,0.2,0.29992,-1.5285e-13,0.17975,300,-2.0733e-11,0.85714,0.14286,0,1,0.0009,0.0009,0.0025,0
-2.4505e-11,0.8,0.2,0.29995,-1.713e-13,0.17955,300,-5.251e-11,0.85714,0.14286,0,1,0.001,0.001,0.0025,0
-5.1263e-11,0.8,0.2,0.29998,-1.9217e-13,0.17935,300,-1.0985e-10,0.85714,0.14286,0,1,0.0011,0.0011,0.0025,0
-8.9663e-11,0.8,0.2,0.30001,-2.134e-13,0.17915,300,-1.9214e-10,0.85714,0.14286,0,1,0.0012,0.0012,0.0025,0
-1.4216e-10,0.8,0.2,0.30005,-2.3408e-13,0.17894,300,-3.0463e-10,0.85714,0.14286,0,1,0.0013,0.0013,0.0025,0
-2.116e-10,0.8,0.2,0.30009,-2.5462e-13,0.17874,300,-4.5342e-10,0.85714,0.14286,0,1,0.0014,0.0014,0.0025,0
-3.012e-10,0.8,0.2,0.30014,-2.7673e-13,0.17853,300,-6.4543e-10,0.85714,0.14286,0,1,0.0015,0.0015,0.0025,0
-4.2601e-10,0.8,0.2,0.30019,-2.9926e-13,0.17832,300,-9.1288e-10,0.85714,0.14286,0,1,0.0016,0.0016,0.0025,0
-5.8515e-10,0.8,0.2,0.30024,-3.2405e-13,0.17811,300,-1.2539e-09,0.85714,0.14286,0,1,0.0017,0.0017,0.0025,0
-7.8528e-10,0.8,0.2,0.3003,-3.5091e-13,0.1779,300,-1.6827e-09,0.85714,0.14286,0,1,0.0018,0.0018,0.0025,0
-1.0339e-09,0.8,0.2,0.30037,-3.8023e-13,0.17769,300,-2.2155e-09,0.85714,0.14286,0,1,0.0019,0.0019,0.0025,0
-1.3392e-09,0.8,0.2,0.30043,-4.1297e-13,0.17747,300,-2.8698e-09,0.85714,0.14286,0,1,0.002,0.002,0.0025,0
-1.7409e-09,0.8,0.2,0.3005,-4.4686e-13,0.17725,300,-3.7306e-09,0.85714,0.14286,0,1,0.0021,0.0021,0.0025,0
-2.234e-09,0.8,0.2,0.30058,-4.8426e-13,0.17704,300,-4.7871e-09,0.85714,0.14286,0,1,0.0022,0.0022,0.0025,0
-2.8342e-09,0.8,0.2,0.30066,-5.2664e-13,0.17681,300,-6.0733e-09,0.85714,0.14286,0,1,0.0023,0.0023,0.0025,0
-3.5593e-09,0.8,0.2,0.30075,-5.7331e-13,0.17659,300,-7.627e-09,0.85714,0.14286,0,1,0.0024,0.0024,0.0025,0
-4.4289e-09,0.8,0.2,0.30084,-6.2144e-13,0.17636,300,-9.4905e-09,0.85714,0.14286,0,1,0.0025,0.0025,0.0025,0
-5.5412e-09,0.8,0.2,0.30095,-6.8163e-13,0.17613,300,-1.1874e-08,0.85714,0.14286,0,1,0.0026,0.0026,0.0025,0
-6.8838e-09,0.8,0.2,0.30106,-7.4678e-13,0.1759,300,-1.4751e-08,0.85714,0.14286,0,1,0.0027,0.0027,0.0025,0
-8.4999e-09,0.8,0.2,0.3012,-8.1429e-13,0.17565,300,-1.8214e-08,0.85714,0.14286,0,1,0.0028,0.0028,0.0025,0
-1.044e-08,0.8,0.2,0.30135,-8.874e-13,0.1754,300,-2.2372e-08,0.85714,0.14286,0,1,0.0029,0.0029,0.0025,0
-1.2764e-08,0.8,0.2,0.30153,-9.7512e-13,0.17514,300,-2.7352e-08,0.85714,0.14286,0,1,0.003,0.003,0.0025,0
-1.5764e-08,0.8,0.2,0.30176,-1.0706e-12,0.17486,300.01,-3.378e-08,0.85714,0.14286,0,1,0.0031,0.0031,0.0025,0
-1.944e-08,0.8,0.2,0.30205,-1.1709e-12,0.17455,300.01,-4.1657e-08,0.85714,0.14286,0,1,0.0032,0.0032,0.0025,0
-2.3945e-08,0.8,0.2,0.30239,-1.2812e-12,0.17422,300.01,-5.1311e-08,0.85714,0.14286,0,1,0.0033,0.0033,0.0025,0
